		 Tabela do QUICKSORT COM INSERTION Rodando 101 Vetores Crescente
Tamanho				|Media				|mediana			|desv. padrao 
 10				|0.000000386			|0.000000000			|0.000000487
 100				|0.000002			|0.000002			|0.000000
 1000				|0.000010			|0.000010			|0.000002
 10000				|0.000095			|0.000094			|0.000003
 100000				|0.000956			|0.000938			|0.000065
 1000000			|0.009825			|0.009763			|0.000231

		 Tabela do QUICKSORT COM INSERTION Rodando 101 Vetores Decrescente
Tamanho				|Media				|mediana			|desv. padrao 
 10				|0.000000158			|0.000000000			|0.000000365
 100				|0.000001			|0.000001			|0.000000
 1000				|0.000010			|0.000010			|0.000001
 10000				|0.000097			|0.000094			|0.000010
 100000				|0.000945			|0.000933			|0.000049
 1000000			|0.011425			|0.011597			|0.000756

		 Tabela do QUICKSORT COM INSERTION Rodando 101 Vetores Aleatorio
Tamanho				|Media				|mediana			|desv. padrao 
 10				|0.000000366			|0.000000000			|0.000000805
 100				|0.000005			|0.000005			|0.000001
 1000				|0.000349			|0.000323			|0.000048
 10000				|0.031150			|0.033060			|0.006394
 100000				|4.721462			|4.158784			|1.973120
 1000000			|520.841418			|477.769281			|210.228342

