		 Tabela do QUICKSORT COM MEDIANA Rodando 101 Vetores Crescente
Tamanho				|Media				|mediana			|desv. padrao 
 10				|0.000001267			|0.000001000			|0.000000505
 100				|0.000008			|0.000008			|0.000002
 1000				|0.000103			|0.000102			|0.000004
 10000				|0.000419			|0.000377			|0.000084
 100000				|0.004842			|0.004790			|0.000144
 1000000			|0.055196			|0.054996			|0.000631

		 Tabela do QUICKSORT COM MEDIANA Rodando 101 Vetores Decrescente
Tamanho				|Media				|mediana			|desv. padrao 
 10				|0.000000287			|0.000000000			|0.000000452
 100				|0.000002			|0.000002			|0.000001
 1000				|0.000027			|0.000027			|0.000002
 10000				|0.000382			|0.000373			|0.000020
 100000				|0.004783			|0.004766			|0.000072
 1000000			|0.055005			|0.054912			|0.000258

		 Tabela do QUICKSORT COM MEDIANA Rodando 101 Vetores Aleatorio
Tamanho				|Media				|mediana			|desv. padrao 
 10				|0.000000446			|0.000000000			|0.000000980
 100				|0.000003			|0.000003			|0.000001
 1000				|0.000079			|0.000078			|0.000004
 10000				|0.001195			|0.001184			|0.000032
 100000				|0.014367			|0.014328			|0.000102
 1000000			|0.183273			|0.168807			|0.019316

