		 Tabela do QUICKSORT MESCLADO COM INSERTION Rodando 101 Vetores Crescente
Tamanho				|Media				|mediana			|desv. padrao 
 10				|0.000000119			|0.000000000			|0.000000324
 100				|0.000001			|0.000001			|0.000000
 1000				|0.000010			|0.000010			|0.000000
 10000				|0.000095			|0.000094			|0.000004
 100000				|0.000948			|0.000938			|0.000040
 1000000			|0.010915			|0.011507			|0.000917

		 Tabela do QUICKSORT MESCLADO COM INSERTION Rodando 101 Vetores Decrescente
Tamanho				|Media				|mediana			|desv. padrao 
 10				|0.000000327			|0.000000000			|0.000000469
 100				|0.000001			|0.000001			|0.000000
 1000				|0.000011			|0.000011			|0.000000
 10000				|0.000113			|0.000113			|0.000003
 100000				|0.001140			|0.001127			|0.000063
 1000000			|0.011902			|0.011457			|0.001253

		 Tabela do QUICKSORT MESCLADO COM INSERTION Rodando 101 Vetores Aleatorio
Tamanho				|Media				|mediana			|desv. padrao 
 10				|0.000000386			|0.000000000			|0.000000487
 100				|0.000005			|0.000005			|0.000000
 1000				|0.000996			|0.000976			|0.000055
 10000				|0.043348			|0.046630			|0.010868
 100000				|4.624972			|4.220447			|2.101163
 1000000			|426.094871			|403.163177			|174.738725

