		 Tabela do QUICKSORT Rodando 101 Vetores Crescente
Tamanho				|Media				|mediana			|desv. padrao 
 10				|0.000000842			|0.000001000			|0.000000502
 100				|0.000005			|0.000005			|0.000001
 1000				|0.000070			|0.000070			|0.000002
 10000				|0.000400			|0.000356			|0.000145
 100000				|0.004595			|0.004578			|0.000052
 1000000			|0.054078			|0.053645			|0.001114

		 Tabela do QUICKSORT Rodando 101 Vetores Decrescente
Tamanho				|Media				|mediana			|desv. padrao 
 10				|0.000000307			|0.000000000			|0.000000461
 100				|0.000002			|0.000002			|0.000002
 1000				|0.000026			|0.000026			|0.000001
 10000				|0.000366			|0.000357			|0.000021
 100000				|0.004599			|0.004581			|0.000072
 1000000			|0.053654			|0.053467			|0.000652

		 Tabela do QUICKSORT Rodando 101 Vetores Aleatorio
Tamanho				|Media				|mediana			|desv. padrao 
 10				|0.000000327			|0.000000000			|0.000000469
 100				|0.000003			|0.000003			|0.000001
 1000				|0.000077			|0.000075			|0.000004
 10000				|0.001160			|0.001152			|0.000023
 100000				|0.014164			|0.014129			|0.000113
 1000000			|0.165715			|0.165558			|0.001605

